user_score,publisher,rating,title,metascore,platform,genre,developer
7.8,Red Barrels,M,Outlast,78,PS4,"Horror,Action Adventure,Horror,Survival",Red Barrels
7.1,Klei Entertainment,T,Don't Starve: Console Edition,78,PS4,"Action Adventure,Fantasy,General,Fantasy,Sandbox",Klei Entertainment
6.5,Ubisoft,M,Assassin's Creed IV: Black Flag - Freedom Cry,71,PS4,"Action Adventure,Historic,Open-World",Ubisoft Montreal
2.8,Bloober Team,T,Basement Crawl,27,PS4,"Action,General,General",Bloober Team
6.2,Square Enix,M,Thief,67,PS4,"Fantasy,Action Adventure,General,Fantasy",Eidos Montreal
7.1,Capcom,E10+,Strider,77,PS4,"Fantasy,Action Adventure,General,Fantasy",Double Helix Games
7.0,Matt Makes Games Inc.,E10+,TowerFall Ascension,87,PS4,"Action,General",Matt Thorson
7.4,Image & Form,E10+,SteamWorld Dig,82,PS4,"Action,Platformer,2D",Image & Form
3.0,Maximum Games,E10+,Putty Squad,38,PS4,"Action,Platformer,Platformer,2D,2D",System 3
7.0,Ronimo Games,T,Awesomenauts Assemble!,74,PS4,"Strategy,Real-Time,MOBA","Abstraction Games, Ronimo Games"
8.0,SCEA,T,inFamous: Second Son,80,PS4,"Sci-Fi,Action Adventure,Sci-Fi,Open-World",Sucker Punch
7.3,Tecmo Koei Games,T,Dynasty Warriors 8: Xtreme Legends Complete Edition,69,PS4,"Action,Miscellaneous,Beat-'Em-Up,Compilation,3D",Omega Force
6.3,Konami,M,Metal Gear Solid V: Ground Zeroes,75,PS4,"Action Adventure,General,Modern,Open-World",Kojima Productions
4.6,10tons Ltd,E10+,King Oddball,64,PS4,"Miscellaneous,Puzzle,Action","10tons Ltd, 10tons"
6.3,Polytron Corp.,E,Fez,90,PS4,"Action,Platformer,Platformer,2D,2D",Polytron Corp.
5.8,Tribute Games,T,Mercenary Kings,70,PS4,"Action,General,General,Shooter,Scrolling,Shoot-'Em-Up,Vertical,Horizontal",Tribute Games
6.6,Warner Bros. Interactive Entertainment,E10+,LEGO The Hobbit,72,PS4,"Historic,Action Adventure,General,Fantasy",TT Games
3.2,The Game Room,E,That Trivia Game,37,PS4,"Miscellaneous,Trivia / Game Show",The Game Room
6.4,Born Ready Games,T,Strike Suit Zero: Director's Cut,68,PS4,"Action,Simulation,Flight,Combat",Born Ready Games
