user_ranking,user_name,game_platform,user_average_ranking,game_title
5,Rox22,PlayStation 4,7.2,Slender: The Arrival
6,zanella_marco,PC,8.1,Sacred 3
7,Rox22,PlayStation 4,7.2,Dragon Age: Inquisition - Jaws Of Hakkon
5,zanella_marco,PC,8.1,Spate
10,zanella_marco,Xbox 360,8.1,Valiant Hearts: The Great War
9,zanella_marco,Xbox 360,8.1,The Secret of Monkey Island: Special Edition
10,Skunkgp,PlayStation 4,9.8,Oddworld: Abe's Oddysee - New 'n' Tasty
9,Skunkgp,PlayStation 4,9.8,Plants vs Zombies: Garden Warfare
2,Rox22,PlayStation 2,7.2,Street Fighter EX3
7,Rox22,PlayStation 2,7.2,Escape from Monkey Island
7,Rox22,PC,7.2,Under a Killing Moon
8,Rox22,PC,7.2,Hexen: Beyond Heretic
8,Rox22,PC,7.2,X-COM: Apocalypse
6,Rox22,Xbox 360,7.2,Double Dragon
7,Rox22,PlayStation 3,7.2,Journey
7,Rox22,PlayStation 4,7.2,Oddworld: Abe's Oddysee - New 'n' Tasty
10,Skunkgp,PlayStation 4,9.8,The Evil Within
7,Rox22,PlayStation 3,7.2,Catherine
9,Rox22,PlayStation 4,7.2,Dragon Age: Inquisition
9,zanella_marco,Xbox 360,8.1,Monkey Island 2 Special Edition: LeChuck's Revenge
10,Skunkgp,PlayStation 4,9.8,Far Cry 4
10,Skunkgp,PlayStation 4,9.8,The Witcher 3: Wild Hunt
7,redmandana,PlayStation 4,6.9,Call of Duty: Advanced Warfare
3,redmandana,PlayStation 4,6.9,Destiny
8,Rox22,PC,7.2,Septerra Core: Legacy of the Creator
9,Rox22,PlayStation 2,7.2,Shin Megami Tensei: Persona 3
6,Rox22,PlayStation 3,7.2,Heavy Rain
5,Rox22,PlayStation 3,7.2,The Unfinished Swan
6,Rox22,PlayStation 3,7.2,Murdered: Soul Suspect
9,Rox22,PlayStation 3,7.2,Borderlands 2: Tiny Tina's Assault on Dragon Keep
8,Rox22,PlayStation 3,7.2,Uncharted: Drake's Fortune
8,Rox22,PlayStation 3,7.2,Uncharted 2: Among Thieves
7,Rox22,PlayStation 2,7.2,Disgaea: Hour of Darkness
9,Rox22,PlayStation 3,7.2,Hatsune Miku: Project Diva F
7,redmandana,PlayStation 4,6.9,Oddworld: Abe's Oddysee - New 'n' Tasty
1,redmandana,PlayStation 4,6.9,Dragon Age: Inquisition
10,redmandana,Game Boy Advance,6.9,The Legend of Zelda: The Minish Cap
7,redmandana,3DS,6.9,The Legend of Zelda: A Link Between Worlds
6,redmandana,PlayStation 4,6.9,Batman: Arkham Knight
7,Rox22,PC,7.2,Ripper
8,Rox22,PlayStation 2,7.2,Shin Megami Tensei: Nocturne
5,Rox22,Xbox 360,7.2,Condemned: Criminal Origins
7,Rox22,PlayStation 2,7.2,The Bard's Tale
8,Rox22,Xbox 360,7.2,Golden Axe
9,Rox22,PC,7.2,Baldur's Gate II: Shadows of Amn
7,Rox22,Xbox 360,7.2,XCOM: Enemy Within
9,Rox22,PC,7.2,Baldur's Gate II: Throne of Bhaal
8,Rox22,Xbox 360,7.2,The Maw
8,redmandana,PlayStation 4,6.9,Tales of Zestiria
