user_score,publisher,rating,title,metascore,platform,genre,developer
6.9,Sega,E,Football Manager Handheld 2010,69,"PSP,iPhone/iPad,PC","Sports,Traditional,Team,Soccer,Management,Management",Sports Interactive
7.5,Konami,M,Silent Hill: Shattered Memories,73,"PSP,PlayStation 2","Action Adventure,Horror,Horror,Survival","Climax Group, Climax Studios"
8.2,Konami,T,Shadow of Destiny,54,"PSP,PC,PlayStation 2","Adventure,3D,Fantasy,Third-Person,Fantasy",Konami
6.8,Chillingo Ltd,T,Dracula: Undead Awakening,75,"PSP,iPhone/iPad","Action,General,General","Chillingo Ltd, Chillingo Ltd., Chillingo"
8,SCEA,T,SOCOM: U.S. Navy SEALs Fireteam Bravo 3,74,PSP,"Action,Shooter,Shooter,Third-Person,Tactical,Modern,Modern",Slant Six
5.9,Atlus,T,Metal Slug XX,67,"PSP,Xbox 360","Action,General,General,Shooter,Shoot-'Em-Up,Horizontal",SNK Playmore
6.8,Halfbrick Studios,T,Age of Zombies,79,"PSP,iPhone/iPad,PlayStation Vita","Action Adventure,Horror,Horror,Survival",Halfbrick Studios
6.6,SCEA,E,MLB 10: The Show,79,"PSP,PlayStation 3","Sports,Traditional,Team,Baseball,Sim,Sim",SCEA
8,Electronic Arts,M,Dante's Inferno,70,"PSP,PlayStation 3,Xbox 360","Action,Beat-'Em-Up,Beat-'Em-Up,2D,3D","Artificial Mind and Movement, EA Redwood Shores"
7.7,XSEED Games,T,Lunar: Silver Star Harmony,80,PSP,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",Game Arts
7.8,Aksys Games,T,BlazBlue: Calamity Trigger Portable,82,"PSP,PC,PlayStation 3,Xbox 360","Action,Fighting,Fighting,2D,2D",Arc System Works
7.9,SCEA,E10+,The Eye of Judgment: Legends,69,"PSP,PlayStation 3","Strategy,Miscellaneous,Turn-Based,Card Battle,Card Battle",SCEI
6.2,Halfbrick Studios,E,Aero Racer,65,PSP,"Driving,Racing,Arcade,Arcade,Automobile",Halfbrick Studios
5.9,Beatshapers,E,BreakQuest,58,"PSP,PC","Miscellaneous,Puzzle,Puzzle,General,Puzzle,General",Beatshapers
4.8,PomPom Games,E10+,Alien Zombie Death,76,"PSP,iPhone/iPad","Action,General,General,Platformer,2D",PomPom Games
5.7,Tecmo,M,Dead or Alive Paradise,38,PSP,"Action,General,General","Team Ninja, Tecmo"
5.8,Aksys Games,T,Mimana Iyar Chronicle,45,PSP,"Role-Playing,General,General",GungHo
8.8,Creat Studios,E,Freekscape: Escape From Hell,74,PSP,"Action,Platformer,Platformer,3D,3D",Kidguru Studios
6,SouthPeak Games,T,Blood Bowl,61,"PSP,iPhone/iPad,PC,Xbox 360","Sports,Alternative,Team,Individual,Football,Other,Other,Arcade",Cyanide
7.8,Nintendo,E,Mario vs. Donkey Kong: Mini-Land Mayhem,79,DS,"Action,Platformer,Platformer,2D,2D","Nintendo, Nintendo Software Technology"
8.8,Aksys Games,M,"Nine Hours, Nine Persons, Nine Doors",82,DS,"Action Adventure,Adventure,General,Horror,3D,Visual Novel,First-Person,Modern,Modern",ChunSoft
6.1,Activision,T,Call of Duty: Black Ops,74,"DS,PC,PlayStation 3,Xbox 360","Action,Shooter,Shooter,First-Person,Historic,Historic,Arcade",n-Space
6,Electronic Arts,E10+,"Harry Potter and the Deathly Hallows, Part 1",56,"DS,PC,PlayStation 3,Xbox 360","Action,Shooter,Shooter,Third-Person,Fantasy,Fantasy,Arcade",Full Fat
7.8,Sega,E,Sonic Colors,79,DS,"Action,Platformer,Platformer,2D,2D,3D",Dimps Corporation
6.6,Ubisoft,E10+,Michael Jackson: The Experience,64,"DS,3DS,iPhone/iPad,PlayStation 3,PlayStation Vita,Xbox 360","Action,Miscellaneous,Rhythm,General,Dancing,Dancing",Ubisoft
8.2,Nintendo,E10+,Golden Sun: Dark Dawn,79,DS,"Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",Camelot Software Planning
6.9,Square Enix,E10+,Kingdom Hearts Re:coded,66,DS,"Role-Playing,Action RPG,Action RPG","Square Enix, h.a.n.d. Inc."
3,D3Publisher,E,Yogi Bear,46,DS,"Action,General,Platformer,Platformer,2D,2D",1st Playable Productions
8.9,Capcom,T,Ghost Trick: Phantom Detective,83,"DS,iPhone/iPad","Adventure,General,General",Capcom
7.5,PopCap,E10+,Plants vs. Zombies,81,"DS,iPhone/iPad,PC,PlayStation 3,PlayStation Vita,Xbox 360","Strategy,Real-Time,General,General,Fantasy,Defense",TOSE
8.1,Nintendo,T,Dragon Quest VI: Realms of Revelation,78,"DS,iPhone/iPad","Role-Playing,Console-style RPG,Console-style RPG,Japanese-Style",ArtePiazza
8.5,Atlus,E10+,Radiant Historia,85,"DS,3DS","Role-Playing,General,General,Japanese-Style",Atlus
8.1,THQ,E,de Blob 2,75,"DS,PC,PlayStation 3,PlayStation 4,Xbox 360,Xbox One","Action,Platformer,Platformer,3D,3D",Halfbrick Studios
7.6,Nintendo,E,Pokemon White Version,87,DS,"Role-Playing,Console-style RPG,Console-style RPG,Trainer",Game Freak
7.6,Nintendo,E,Pokemon Black Version,87,DS,"Role-Playing,Console-style RPG,Console-style RPG,Trainer",Game Freak
8.2,Capcom,E10+,Okamiden,82,DS,"Action Adventure,Fantasy,General,Fantasy",Capcom
7.8,PopCap,E10+,Plants vs. Zombies (DSiWare),73,DS,"Strategy,General,General",PopCap
7.9,Majesco Games,E,Monster Tale,79,DS,"Action,Platformer,Platformer,2D,2D",DreamRift
7.4,City Interactive,E,TrackMania Turbo,77,DS,"Driving,Racing,General,Arcade,Arcade,Automobile",Firebrand Games
7.4,Warner Bros. Interactive Entertainment,E,LEGO Battles: Ninjago,59,DS,"Strategy,Real-Time,Fantasy,General,Fantasy",Hellbent Games
6,Flat Black Films,E,Inchworm Animation,83,DS,"Action,Miscellaneous,General,General,General",Arc System Works
7.1,WayForward,E,Mighty Milky Way,81,DS,"Miscellaneous,Puzzle,Action,Puzzle,Action",WayForward
7.2,Sega,E10+,Thor: God of Thunder,64,"DS,3DS,PlayStation 3,Xbox 360","Action,General,General",WayForward
3.3,Deep Silver,T,Duke Nukem: Critical Mass,29,DS,"Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical,Horizontal","Apogee Software, Ltd."
6.8,Activision,E10+,Transformers: Dark of the Moon - Decepticons,43,"DS,3DS,PlayStation 3,Xbox 360","Action,General,General",Behaviour Interactive
5.6,Electronic Arts,M,Fuse,62,"Xbox 360,PlayStation 3","Action,General,General",Insomniac Games
6.8,Microsoft Game Studios,T,CastleStorm,79,"Xbox 360,PC,PlayStation 3,PlayStation 3,PlayStation 4,PlayStation Vita,Wii U,Xbox One","Strategy,General,General",Zen Studios
7.2,Microsoft Game Studios,M,State of Decay,78,"Xbox 360,PC","Action Adventure,Horror,Horror,Survival",Undead Labs
7.5,Capcom,M,Remember Me,70,"Xbox 360,PC,PlayStation 3","Action Adventure,Sci-Fi,Sci-Fi,General",DONTNOD Entertainment
5.3,bitComposer Games,M,Thunder Wolves,67,"Xbox 360,PC,PlayStation 3","Action,Shooter,Shooter,Scrolling,Scrolling,Shoot-'Em-Up,Vertical",Most Wanted Entertainment
4,Bigben Interactive,T,Fireburst,35,"Xbox 360,PC","Driving,Racing,Simulation,Rally / Offroad,Rally / Offroad,Automobile",exDream
2.9,Namco Bandai Games,E,Storm,64,"Xbox 360,PC,PlayStation 3","Miscellaneous,General,General",EKO Software
