user_score,rating,title,metascore,platform,genre,developer
7.3,T,Exist Archive: The Other Side of the Sky,69,PS4,"Role-Playing,Japanese-Style",Tri-Ace
7.6,E10+,Rez Infinite,89,PS4,"Action,Shooter,Rail","Q Entertainment, Monstars Inc., Enhance Games"
6.0,E,SportsBarVR,55,PS4,"Sports,General","Cherry Pop Games, Perilous Orbit"
6.3,M,Mordheim: City of the Damned,72,PS4,"Strategy,Turn-Based,General,Tactics",Rogue Factor
5.1,E10+,King's Quest Chapter 5: The Good Knight,78,PS4,"Adventure,General",The Odd Gentlemen
4.1,E10+,Pixel Gear,51,PS4,"Action,Shooter,First-Person,Arcade",Geronimo Interactive
8.1,M,Battlefield 1,89,PS4,"Action,General,Shooter,First-Person,Tactical",EA DICE
7.4,E,Windlands,63,PS4,"Adventure,3D,First-Person",Psytec Games Ltd
7.5,E10+,Armikrog,50,PS4,"Adventure,Point-and-Click",Pencil Test Studios
7.0,,Marvel: Ultimate Alliance Bundle,61,PS4,"Miscellaneous,Compilation",Raven Software
6.0,E10+,Chambara,71,PS4,"Action,General",team ok
6.6,E10+,Minecraft: Story Mode - Episode 7: Access Denied,68,PS4,"Action Adventure,Adventure,Point-and-Click,Linear",Telltale Games
4.1,,Fallout 4: Vault-Tec Workshop,60,PS4,"Role-Playing,Western-Style",Bethesda Game Studios
6.6,E10+,Riptide GP: Renegade,71,PS4,"General,Racing,Arcade,Futuristic",Vector Unit
6.8,T,Among the Sleep,66,PS4,"Adventure,3D,First-Person",Krillbite Studio
7.0,M,Layers of Fear: Inheritance,61,PS4,"Adventure,3D,First-Person",Bloober Team
6.8,T,Fairy Fencer F: Advent Dark Force,71,PS4,"Role-Playing,General,Japanese-Style",Compile Heart
7.7,T,Hyper Light Drifter,79,PS4,"Role-Playing,Action RPG",Heart Machine
7.5,T,Headlander,77,PS4,"Action,Action Adventure,General,Platformer,2D",Double Fine Productions
6.2,T,Nightmares from the Deep: The Cursed Heart,58,PS4,"Puzzle,Hidden Object",Artifex Mundi
7.3,E10+,Risk: Urban Assault,61,PS4,"Strategy,Miscellaneous,Turn-Based,Board / Card Game,General",Zoe Mode
7.7,E,ABZU,78,PS4,"Fantasy,Action Adventure,Adventure,General,3D,Third-Person",Giant Squid
7.9,E,Overcooked,78,PS4,"Action,Simulation,Arcade,Virtual,Career",Ghost Town Games Ltd.
7.5,M,Gal*Gun: Double Peace,64,PS4,"Action,Shooter,Light Gun","Alchemist, Inti Creates"
7.3,E,Tricky Towers,72,PS4,"Puzzle,Stacking","WeirdBeard B.V., WeirdBeard"
6.5,M,Batman: The Telltale Series - Episode 1: Realm of Shadows,70,PS4,"Adventure,Point-and-Click",Telltale Games
7.2,T,Emily Wants To Play,75,PS4,"Adventure,3D,First-Person",SKH Apps
6.7,M,DOOM: Unto The Evil,75,PS4,"Action,Shooter,First-Person,Arcade",id Software
5.9,T,Brut@l,67,PS4,"Action Adventure,General",Stormcloud Games Limited
5.7,E,Inversus,79,PS4,"Action,Strategy,Real-Time,Arcade,Tactics",Hypersect
6.4,E,Uno,71,PS4,"Miscellaneous,Board / Card Game",Ubisoft Chengdu
4.5,T,No Man's Sky,71,PS4,"Action,General,General,Action Adventure,Open-World",Hello Games
5.6,M,The Park,55,PS4,"Action Adventure,Survival",Funcom
6.4,E,VIDEOBALL,77,PS4,"Sports,General",Action Button Entertainment
7.4,,Hitman - Episode 4: Bangkok,71,PS4,"Action Adventure,General",Io Interactive
7.4,E10+,Bound,71,PS4,"Action,Platformer,3D","SCE Santa Monica, Plastic Studios"
6.3,T,Sword Coast Legends,51,PS4,"Role-Playing,General,Western-Style",n-Space
7.5,T,Stories: The Path of Destinies,73,PS4,"Role-Playing,Action RPG",Spearhead Games
5.4,,Blues and Bullets - Episode 1: The End of Peace,86,PS4,"Action Adventure,General",A Crowd of Monsters
3.8,,Call of Duty: Black Ops III - Eclipse,74,PS4,"Action,Shooter,First-Person,Arcade",Treyarch
7.4,E,Pang Adventures,63,PS4,"Action,Platformer,2D",Pasta Games
8.9,M,Dark Souls III,89,PS4,"Role-Playing,Action RPG",From Software
6.1,E,Koi,51,PS4,"Action Adventure,General",Oasis Games
7.0,E,UEFA EURO 2016,72,PS4,"Sports,Team,Soccer,Sim",Konami
8.6,E10+,Ratchet & Clank,85,PS4,"Action,Platformer,3D",Insomniac Games
6.9,T,"Invisible, Inc. Console Edition",82,PS4,"General,Strategy,Turn-Based,Tactics",Klei Entertainment
5.9,,ZEN Pinball 2: Aliens Vs. Pinball,84,PS4,"Action,Pinball",Zen Studios
5.5,E10+,Battle Worlds: Kronos,62,PS4,"Strategy,Turn-Based,General",KING Art
7.1,M,The Magic Circle: Gold Edition,76,PS4,"Adventure,3D,First-Person",Question
6.9,E10+,King's Quest Chapter 3: Once Upon a Climb,79,PS4,"Adventure,General",The Odd Gentlemen
6.9,,Hitman - Episode 2: Sapienza,84,PS4,"Action Adventure,General",Io Interactive
7.5,M,Party Hard,65,PS4,"Action,General",Pinokl Games
7.5,M,The Walking Dead: Michonne - Episode 3: What We Deserve,76,PS4,"Adventure,3D,Third-Person",Telltale Games
6.6,E,Push Me Pull You,75,PS4,"Sports,General",House House
7.3,E,Don Bradman Cricket,76,PS4,"Sports,Team,Cricket",Big Ant Studios
6.7,M,The Walking Dead: Michonne - A Telltale Miniseries,64,PS4,"Adventure,3D,Third-Person",Skybound LLC
7.9,M,Alienation,79,PS4,"Sci-Fi,Action,Shooter,Third-Person,Arcade",Housemarque
7.4,T,Rocketbirds 2: Evolution,67,PS4,"Action,Platformer,2D",Ratloop Asia Pte Ltd
7.3,M,Neverending Nightmares,74,PS4,"Action Adventure,Survival",Infinitap Games
7.2,T,Shadow Complex Remastered,80,PS4,"Action,Shooter,Third-Person,Arcade",Chair Entertainment
6.4,E,Table Top Racing: World Tour,55,PS4,"Racing,Arcade,Automobile",Playrise Edge Ltd.
4.3,T,Coffin Dodgers,36,PS4,"Racing,Arcade,Automobile",Milky Tea Studios
8.0,M,Senran Kagura: Estival Versus,67,PS4,"Action,General",Marvelous Inc.
6.9,T,Battleborn,68,PS4,"Sci-Fi,Action,Shooter,First-Person,Arcade",Gearbox Software
3.5,M,Fallout 4: Wasteland Workshop,50,PS4,"Role-Playing,Western-Style",Bethesda Game Studios
6.6,M,BROFORCE,68,PS4,"Action,Platformer,2D",Free Lives
5.8,T,EA Sports UFC 2,79,PS4,"Sports,General,Individual,Combat,Boxing / Martial Arts",EA Sports
7.9,M,Batman: Arkham Knight - Season of Infamy: Most Wanted,79,PS4,"Action Adventure,Open-World",Rocksteady Studios
5.1,E10+,Minecraft: Story Mode - Episode 4: A Block and a Hard Place,72,PS4,"Action Adventure,Adventure,Point-and-Click,Linear",Telltale Games
7.2,E10+,LEGO Marvel's Avengers,71,PS4,"Action Adventure,General",TT Games
7.4,M,Earth Defense Force 4.1: The Shadow of New Despair,64,PS4,"Action,Shooter,Third-Person,Arcade",Sandlot
7.4,T,Fat Princess Adventures,63,PS4,"Action,Role-Playing,General,Action RPG","SCE Santa Monica, Fun Bits"
6.3,T,GUNS UP!,54,PS4,"Action,Strategy,Real-Time,General",Valkyrie Entertainment
